"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/api/articles",2479,35,130,614,62,7208,736,12.16,0.17,130,180,340,710,1700,3700,5300,6300,7000,7200,7200,7200
"GET","/api/articles/feed?limit=10",2488,45,130,682,62,7202,35,12.20,0.22,130,200,400,810,2100,4400,5500,6300,7000,7200,7200,7200
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh",2442,27,160,972,62,9565,424,11.97,0.13,160,250,560,1000,2900,7000,8600,8900,9500,9600,9600,9600
"GET","/api/articles/un-titulo-creado-por-pedro-nkjgdh/comments",2473,47,120,632,61,6763,18,12.13,0.23,120,170,330,670,2000,4300,5300,6200,6700,6800,6800,6800
"GET","/api/profiles/test",2455,39,140,698,63,7242,117,12.04,0.19,140,220,440,800,2100,4400,5400,6600,7000,7200,7200,7200
"GET","/api/tags",2542,42,110,416,62,4250,13,12.46,0.21,110,150,270,470,1300,2300,3100,3600,4200,4300,4300,4300
"GET","/api/user",2377,33,120,485,62,4756,267,11.66,0.16,120,180,350,690,1400,2600,3500,4000,4500,4800,4800,4800
"PUT","/api/user",2455,47,150,967,62,9611,267,12.04,0.23,150,230,500,1000,3000,6800,8500,8900,9500,9600,9600,9600
"POST","/api/users/login",1000,29,820,1188,126,4141,266,4.90,0.14,820,1200,1600,1900,2700,3100,3800,4000,4100,4100,4100,4100
"None","Aggregated",20711,344,140,707,61,9611,235,101.55,1.69,140,230,540,860,2100,3700,6100,7300,9100,9600,9600,9600